Institution,Fiscal Year,Study Level,Program Name,HEADCOUNT
Toronto,2017-2018,Graduate,Drama,53
Toronto,2017-2018,Graduate,East Asian Studies,46
Toronto,2017-2018,Graduate,Ecology & Evolutionary Biology,139
Toronto,2017-2018,Graduate,Ecology and Evolutionary Biology,*
Toronto,2017-2018,Graduate,Economics,147
Toronto,2017-2018,Graduate,Economics - Financial Economics,52
Toronto,2017-2018,Graduate,Education - Adult Education & Community Development,32
Toronto,2017-2018,Graduate,Education - Adult Education & Counselling Psychology,104
Toronto,2017-2018,Graduate,Education - Child Study and Education,142
Toronto,2017-2018,Graduate,Education - Counselling Psychology,84
Toronto,2017-2018,Graduate,Education - Counselling and Clinical Psychology,44
Toronto,2017-2018,Graduate,"Education - Curriculum, Teaching & Learning",1146
Toronto,2017-2018,Graduate,Education - Developmental Psychology & Education,171
Toronto,2017-2018,Graduate,Education - Educational Leadership and Policy,106
Toronto,2017-2018,Graduate,Education - Higher Education,113
Toronto,2017-2018,Graduate,Education - History & Philosophy of Education,*
Toronto,2017-2018,Graduate,Education - History of Education,0
Toronto,2017-2018,Graduate,Education - Philosophy of Education,*
Toronto,2017-2018,Graduate,Education - Social Justice Education,218
Toronto,2017-2018,Graduate,Electrical & Computer Engineering,532
Toronto,2017-2018,Graduate,English,164
Toronto,2017-2018,Graduate,Environmental Science,153
Toronto,2017-2018,Graduate,European and Russian Affairs,43
Toronto,2017-2018,Graduate,Exercise Science,108
Toronto,2017-2018,Graduate,Financial Insurance,13
Toronto,2017-2018,Graduate,Financial Risk Management,59
Toronto,2017-2018,Graduate,Forest Conservation,67
Toronto,2017-2018,Graduate,Forestry,47
Toronto,2017-2018,Graduate,French,38
Toronto,2017-2018,Graduate,French  Linguistics,*
Toronto,2017-2018,Graduate,French Literature,*
Toronto,2017-2018,Graduate,Genetic Counselling,10
Toronto,2017-2018,Graduate,Geography,142
Toronto,2017-2018,Graduate,Geology,57
Toronto,2017-2018,Graduate,"German Literature, Culture and Theory",10
Toronto,2017-2018,Graduate,Germanic Languages and Literatures,10
Toronto,2017-2018,Graduate,Global Professional Master of Laws,85
Toronto,2017-2018,Graduate,Health Administration,340
Toronto,2017-2018,Graduate,Health informatics,106
Toronto,2017-2018,Graduate,History,154
Toronto,2017-2018,Graduate,History & Philosophy of Science & Technology,47
Toronto,2017-2018,Graduate,Immunology,106
Toronto,2017-2018,Graduate,Industrial Relations,*
Toronto,2017-2018,Graduate,Industrial Relations & Human Resources,55
Toronto,2017-2018,Graduate,Information Studies,534
Toronto,2017-2018,Graduate,Italian Studies,22
Toronto,2017-2018,Graduate,Laboratory Medicine & Pathobiology,199
Toronto,2017-2018,Graduate,Landscape Architecture,89
Toronto,2017-2018,Graduate,Law - LLM,48
Toronto,2017-2018,Graduate,Law - MSL,0
Toronto,2017-2018,Graduate,Law - SJD,45
Toronto,2017-2018,Graduate,Linguistics,55
Toronto,2017-2018,Graduate,Management,65
Toronto,2017-2018,Graduate,Management & Finance,62
Toronto,2017-2018,Graduate,Management & Professional Accounting,199
Toronto,2017-2018,Graduate,Management of Innovation,34
Toronto,2017-2018,Graduate,Master of Arts in Theological Studies (Emmanuel),*
Toronto,2017-2018,Graduate,Master of Arts in Theological Studies (Knox),*
Toronto,2017-2018,Graduate,Master of Arts in Theological Studies (Regis),*
Toronto,2017-2018,Graduate,Master of Arts in Theological Studies (Trinity),*
Toronto,2017-2018,Graduate,Master of Arts in Theological Studies (USMC),*
Toronto,2017-2018,Graduate,Master of Arts in Theological Studies (Wycliffe),*
Toronto,2017-2018,Graduate,Master of Global Affairs,151
Toronto,2017-2018,Graduate,Master of Public Health,247
Toronto,2017-2018,Graduate,Materials Science & Engineering,94
Toronto,2017-2018,Graduate,Mathematical Finance,32
Toronto,2017-2018,Graduate,Mathematics,148
Toronto,2017-2018,Graduate,Mechanical & Industrial Engineering,586
Toronto,2017-2018,Graduate,Medical Biophysics,224
Toronto,2017-2018,Graduate,Medical Radiation,*
Toronto,2017-2018,Graduate,Medical Science,483
Toronto,2017-2018,Graduate,Medieval Studies,81
Toronto,2017-2018,Graduate,Ministry,30
Toronto,2017-2018,Graduate,Molecular Genetics,310
Toronto,2017-2018,Graduate,Museum Studies,98
Toronto,2017-2018,Graduate,Music,73
Toronto,2017-2018,Graduate,Music Performance,238
Toronto,2017-2018,Graduate,Near & Middle Eastern Civilizations,79
Toronto,2017-2018,Graduate,Non-Program,72
Toronto,2017-2018,Graduate,Nurse Practitioner,149
Toronto,2017-2018,Graduate,Nursing,91
Toronto,2017-2018,Graduate,Nursing Science,39
Toronto,2017-2018,Graduate,Nutritional Studies,85
Toronto,2017-2018,Graduate,Occupational Therapy,193
Toronto,2017-2018,Graduate,Pharmaceutical Sciences,109
Toronto,2017-2018,Graduate,Pharmacology,132
Toronto,2017-2018,Graduate,Philosophy,78
Toronto,2017-2018,Graduate,Physical Therapy,187
Toronto,2017-2018,Graduate,Physics,180
Toronto,2017-2018,Graduate,Physiology,138
Toronto,2017-2018,Graduate,Planning,88
Toronto,2017-2018,Graduate,Political Science,210
Toronto,2017-2018,Graduate,Professional Accounting,0
Toronto,2017-2018,Graduate,Professional Kinesiology,63
Toronto,2017-2018,Graduate,Psychology,155
Toronto,2017-2018,Graduate,Public Health Sciences,175
Toronto,2017-2018,Graduate,Public Health Sciences - Epidemiology,*
Toronto,2017-2018,Graduate,Public Health Sciences - Sociology & Behaviour,*
Toronto,2017-2018,Graduate,Public Policy,168
Toronto,2017-2018,Graduate,Rehabilitation Science,95
Toronto,2017-2018,Graduate,Religion,88
Toronto,2017-2018,Graduate,School and Clinical Child Psychology,62
Toronto,2017-2018,Graduate,Slavic Languages & Literature,13
Toronto,2017-2018,Graduate,Social Work,458
Toronto,2017-2018,Graduate,Sociology,110
Toronto,2017-2018,Graduate,Spanish Language,38
Toronto,2017-2018,Graduate,Speech & Language Pathology,127
Toronto,2017-2018,Graduate,Statistics,56
Toronto,2017-2018,Graduate,Sustainability Management,63
Toronto,2017-2018,Graduate,Theology,200
Toronto,2017-2018,Graduate,Translational Research in the Health Sciences,43
Toronto,2017-2018,Graduate,Urban Design (Architecture),16
Toronto,2017-2018,Graduate,Visual Studies,14
Toronto,2017-2018,Graduate,Women & Gender Studies,24
Toronto,2018-2019,Undergraduate,ARTS,19127
Toronto,2018-2019,Undergraduate,Bachelor of Science Physician Assistant,56
Toronto,2018-2019,Undergraduate,COMMERCE,6896
Toronto,2018-2019,Undergraduate,Certificate in Theological Studies,0
Toronto,2018-2019,Undergraduate,Chemical Engineering,423
Toronto,2018-2019,Undergraduate,Civil Engineering,384
Toronto,2018-2019,Undergraduate,Computer Engineering,613
Toronto,2018-2019,Undergraduate,Dentistry - DDS,433
Toronto,2018-2019,Undergraduate,Divinity,151
Toronto,2018-2019,Undergraduate,Doctor of Medicine (MD),1034
Toronto,2018-2019,Undergraduate,Doctor of Pharmacy and Master of Business Admin,*
Toronto,2018-2019,Undergraduate,Education - Leadership in Higher Education,0
Toronto,2018-2019,Undergraduate,Electrical Engineering,545
Toronto,2018-2019,Undergraduate,Engineering,189
Toronto,2018-2019,Undergraduate,Engineering Science,454
Toronto,2018-2019,Undergraduate,Engineering Science (Aerospace),42
Toronto,2018-2019,Undergraduate,Engineering Science (Bio Med Sys),37
Toronto,2018-2019,Undergraduate,Engineering Science (Elec & Comp),36
Toronto,2018-2019,Undergraduate,Engineering Science (Energy Sys),10
Toronto,2018-2019,Undergraduate,Engineering Science (Infrastruct),12
Toronto,2018-2019,Undergraduate,Engineering Science (Machine Intelligence),45
Toronto,2018-2019,Undergraduate,"Engineering Science (Math,Sta,Fin)",51
Toronto,2018-2019,Undergraduate,Engineering Science (Physics),31
Toronto,2018-2019,Undergraduate,Engineering Science(Robotics),98
Toronto,2018-2019,Undergraduate,English - 2nd language teaching,47
Toronto,2018-2019,Undergraduate,Human Resource Management,*
Toronto,2018-2019,Undergraduate,Industrial Engineering,387
Toronto,2018-2019,Undergraduate,Kinesiology,1001
Toronto,2018-2019,Undergraduate,Law - JD,552
Toronto,2018-2019,Undergraduate,Law - joint JD & graduate degree,33
Toronto,2018-2019,Undergraduate,Master Pastoral Studies - Spiritual Care (Emmanuel),15
Toronto,2018-2019,Undergraduate,Master Theological Studies - Urban Community Development (Wycliffe),*
Toronto,2018-2019,Undergraduate,Materials Engineering,176
Toronto,2018-2019,Undergraduate,Mechanical Engineering,638
Toronto,2018-2019,Undergraduate,Medical Radiation Sciences,287
Toronto,2018-2019,Undergraduate,Mineral Engineering,75
Toronto,2018-2019,Undergraduate,Music,127
Toronto,2018-2019,Undergraduate,Music Performance,280
Toronto,2018-2019,Undergraduate,Music Teacger Education,109
Toronto,2018-2019,Undergraduate,Non-Program,3417
Toronto,2018-2019,Undergraduate,Nursing,346
Toronto,2018-2019,Undergraduate,Operatic Performance,*
Toronto,2018-2019,Undergraduate,Pastoral Studies,13
Toronto,2018-2019,Undergraduate,Pharmacy,941
Toronto,2018-2019,Undergraduate,Physical & Health Education,*
Toronto,2018-2019,Undergraduate,Religious Education,*
Toronto,2018-2019,Undergraduate,SCIENCE,26568
Toronto,2018-2019,Undergraduate,Sacred Music,*
Toronto,2018-2019,Undergraduate,Theological Studies,25
Toronto,2018-2019,Graduate,Accounting and Finance,22
Toronto,2018-2019,Graduate,Aerospace Science & Engineering,186
Toronto,2018-2019,Graduate,Aerospace Science and Engineering,*
Toronto,2018-2019,Graduate,Anthropology,173
Toronto,2018-2019,Graduate,Applied Computing,114
Toronto,2018-2019,Graduate,Architecture,291
Toronto,2018-2019,Graduate,Art History,53
Toronto,2018-2019,Graduate,Astronomy & Astrophysics,53
Toronto,2018-2019,Graduate,Biochemistry,161
Toronto,2018-2019,Graduate,Biomedical Communications,35
Toronto,2018-2019,Graduate,Biomedical Engineering,278
Toronto,2018-2019,Graduate,Biotechnology,80
Toronto,2018-2019,Graduate,Business Administration,1013
Toronto,2018-2019,Graduate,Business Administration (Executive),221
Toronto,2018-2019,Graduate,Cell & Systems Biology,210
Toronto,2018-2019,Graduate,Chemical Engineering & Applied Chemistry,218
Toronto,2018-2019,Graduate,Chemistry,272
Toronto,2018-2019,Graduate,Cinema Studies,45
Toronto,2018-2019,Graduate,Civil Engineering,292
Toronto,2018-2019,Graduate,Classics,36
Toronto,2018-2019,Graduate,Comparative Literature,39
Toronto,2018-2019,Graduate,Computer Science,278
Toronto,2018-2019,Graduate,Counselling and Clinical Psychology,30
Toronto,2018-2019,Graduate,Criminology and Sociolegal Studies,58
Toronto,2018-2019,Graduate,Dentistry,28
Toronto,2018-2019,Graduate,Dentistry - Dental Anaesthesia,*
Toronto,2018-2019,Graduate,Dentistry - Dental Public Health,*
Toronto,2018-2019,Graduate,Dentistry - Endodontics,*
Toronto,2018-2019,Graduate,Dentistry - Oral Maxillofacial Surgery,12
Toronto,2018-2019,Graduate,Dentistry - Oral Pathology and Medicine,*
Toronto,2018-2019,Graduate,Dentistry - Oral Radiology,*
Toronto,2018-2019,Graduate,Dentistry - Orthodontics,12
Toronto,2018-2019,Graduate,Dentistry - Paediatric,10
Toronto,2018-2019,Graduate,Dentistry - Periodontology,*
Toronto,2018-2019,Graduate,Dentistry - Prosthodontics,*
Toronto,2018-2019,Graduate,Drama,44
Toronto,2018-2019,Graduate,East Asian Studies,53
Toronto,2018-2019,Graduate,Ecology & Evolutionary Biology,145
Toronto,2018-2019,Graduate,Ecology and Evolutionary Biology,*
Toronto,2018-2019,Graduate,Economics,164
Toronto,2018-2019,Graduate,Economics - Financial Economics,50
Toronto,2018-2019,Graduate,Education - Adult Education & Community Development,32
Toronto,2018-2019,Graduate,Education - Adult Education & Counselling Psychology,114
Toronto,2018-2019,Graduate,Education - Child Study and Education,134
Toronto,2018-2019,Graduate,Education - Counselling Psychology,97
Toronto,2018-2019,Graduate,Education - Counselling and Clinical Psychology,45
Toronto,2018-2019,Graduate,"Education - Curriculum, Teaching & Learning",1195
Toronto,2018-2019,Graduate,Education - Developmental Psychology & Education,222
Toronto,2018-2019,Graduate,Education - Educational Leadership and Policy,139
Toronto,2018-2019,Graduate,Education - Higher Education,127
Toronto,2018-2019,Graduate,Education - History & Philosophy of Education,0
Toronto,2018-2019,Graduate,Education - Philosophy of Education,0
Toronto,2018-2019,Graduate,Education - Social Justice Education,235
Toronto,2018-2019,Graduate,Electrical & Computer Engineering,602
Toronto,2018-2019,Graduate,English,163
Toronto,2018-2019,Graduate,Environmental Science,133
Toronto,2018-2019,Graduate,European and Russian Affairs,43
Toronto,2018-2019,Graduate,Exercise Science,110
Toronto,2018-2019,Graduate,Financial Insurance,23
Toronto,2018-2019,Graduate,Financial Risk Management,61
Toronto,2018-2019,Graduate,Forest Conservation,67
Toronto,2018-2019,Graduate,Forestry,54
Toronto,2018-2019,Graduate,French,42
Toronto,2018-2019,Graduate,French  Linguistics,*
Toronto,2018-2019,Graduate,French Literature,*
Toronto,2018-2019,Graduate,Genetic Counselling,12
Toronto,2018-2019,Graduate,Geography,150
Toronto,2018-2019,Graduate,Geology,55
Toronto,2018-2019,Graduate,"German Literature, Culture and Theory",16
Toronto,2018-2019,Graduate,Germanic Languages and Literatures,*
Toronto,2018-2019,Graduate,Global Professional Master of Laws,88
Toronto,2018-2019,Graduate,Health Administration,366
Toronto,2018-2019,Graduate,Health informatics,106
Toronto,2018-2019,Graduate,History,146
Toronto,2018-2019,Graduate,History & Philosophy of Science & Technology,48
Toronto,2018-2019,Graduate,Immunology,109
Toronto,2018-2019,Graduate,Industrial Relations,*
Toronto,2018-2019,Graduate,Industrial Relations & Human Resources,69
Toronto,2018-2019,Graduate,Information,53
Toronto,2018-2019,Graduate,Information Studies,515
Toronto,2018-2019,Graduate,Italian Studies,24
Toronto,2018-2019,Graduate,Laboratory Medicine & Pathobiology,180
Toronto,2018-2019,Graduate,Landscape Architecture,79
Toronto,2018-2019,Graduate,Law - LLM,33
Toronto,2018-2019,Graduate,Law - SJD,41
Toronto,2018-2019,Graduate,Linguistics,56
Toronto,2018-2019,Graduate,Management,68
Toronto,2018-2019,Graduate,Management & Finance,68
Toronto,2018-2019,Graduate,Management & Professional Accounting,207
Toronto,2018-2019,Graduate,Management Analytics,43
Toronto,2018-2019,Graduate,Management of Innovation,35
Toronto,2018-2019,Graduate,Master of Arts in Theological Studies (Emmanuel),*
Toronto,2018-2019,Graduate,Master of Arts in Theological Studies (Knox),0
Toronto,2018-2019,Graduate,Master of Arts in Theological Studies (Regis),*
Toronto,2018-2019,Graduate,Master of Arts in Theological Studies (Trinity),0
Toronto,2018-2019,Graduate,Master of Arts in Theological Studies (USMC),*
Toronto,2018-2019,Graduate,Master of Arts in Theological Studies (Wycliffe),*
Toronto,2018-2019,Graduate,Master of Global Affairs,176
Toronto,2018-2019,Graduate,Master of Public Health,256
Toronto,2018-2019,Graduate,Materials Science & Engineering,94
Toronto,2018-2019,Graduate,Mathematical Finance,32
Toronto,2018-2019,Graduate,Mathematics,164
Toronto,2018-2019,Graduate,Mechanical & Industrial Engineering,640
Toronto,2018-2019,Graduate,Medical Biophysics,227
Toronto,2018-2019,Graduate,Medical Genomics,15
Toronto,2018-2019,Graduate,Medical Radiation,*
Toronto,2018-2019,Graduate,Medical Science,458
Toronto,2018-2019,Graduate,Medieval Studies,79
Toronto,2018-2019,Graduate,Ministry,27
Toronto,2018-2019,Graduate,Molecular Genetics,339
Toronto,2018-2019,Graduate,Museum Studies,99
Toronto,2018-2019,Graduate,Music,76
Toronto,2018-2019,Graduate,Music Performance,226
Toronto,2018-2019,Graduate,Near & Middle Eastern Civilizations,82
Toronto,2018-2019,Graduate,Non-Program,65
Toronto,2018-2019,Graduate,Nurse Practitioner,142
Toronto,2018-2019,Graduate,Nursing,118
Toronto,2018-2019,Graduate,Nursing Science,39
Toronto,2018-2019,Graduate,Nutritional Studies,72
Toronto,2018-2019,Graduate,Occupational Therapy,228
Toronto,2018-2019,Graduate,Pharmaceutical Sciences,113
Toronto,2018-2019,Graduate,Pharmacology,141
Toronto,2018-2019,Graduate,Philosophy,83
Toronto,2018-2019,Graduate,Physical Therapy,202
Toronto,2018-2019,Graduate,Physics,190
Toronto,2018-2019,Graduate,Physiology,149
Toronto,2018-2019,Graduate,Planning,93
Toronto,2018-2019,Graduate,Political Science,213
Toronto,2018-2019,Graduate,Professional Accounting,0
Toronto,2018-2019,Graduate,Professional Kinesiology,68
Toronto,2018-2019,Graduate,Psychology,169
Toronto,2018-2019,Graduate,Public Health Sciences,183
Toronto,2018-2019,Graduate,Public Health Sciences - Sociology & Behaviour,*
Toronto,2018-2019,Graduate,Public Policy,177
Toronto,2018-2019,Graduate,Rehabilitation Science,87
Toronto,2018-2019,Graduate,Religion,90
Toronto,2018-2019,Graduate,School and Clinical Child Psychology,62
Toronto,2018-2019,Graduate,Slavic Languages & Literature,13
Toronto,2018-2019,Graduate,Social Work,458
Toronto,2018-2019,Graduate,Sociology,114
Toronto,2018-2019,Graduate,Spanish Language,39
Toronto,2018-2019,Graduate,Speech & Language Pathology,136
Toronto,2018-2019,Graduate,Statistics,57
Toronto,2018-2019,Graduate,Sustainability Management,74
Toronto,2018-2019,Graduate,Theology,203
Toronto,2018-2019,Graduate,Translational Research in the Health Sciences,45
Toronto,2018-2019,Graduate,Urban Design (Architecture),14
Toronto,2018-2019,Graduate,Visual Studies,15
Toronto,2018-2019,Graduate,Women & Gender Studies,30
Toronto,2019-2020,Undergraduate,ARTS,19407
Toronto,2019-2020,Undergraduate,Bachelor of Information,16
Toronto,2019-2020,Undergraduate,Bachelor of Science Physician Assistant,57
Toronto,2019-2020,Undergraduate,COMMERCE,6893
Toronto,2019-2020,Undergraduate,Certificate in Theological Studies,*
Toronto,2019-2020,Undergraduate,Chemical Engineering,434
Toronto,2019-2020,Undergraduate,Civil Engineering,385
Toronto,2019-2020,Undergraduate,Computer Engineering,736
Toronto,2019-2020,Undergraduate,Dentistry - DDS,430
Toronto,2019-2020,Undergraduate,Divinity,139
Toronto,2019-2020,Undergraduate,Doctor of Medicine (MD),1051
Toronto,2019-2020,Undergraduate,Doctor of Pharmacy and Master of Business Admin,*
Toronto,2019-2020,Undergraduate,Electrical Engineering,403
Toronto,2019-2020,Undergraduate,Engineering,233
Toronto,2019-2020,Undergraduate,Engineering Science,496
Toronto,2019-2020,Undergraduate,Engineering Science (Aerospace),36
Toronto,2019-2020,Undergraduate,Engineering Science (Bio Med Sys),50
Toronto,2019-2020,Undergraduate,Engineering Science (Elec & Comp),58
Toronto,2019-2020,Undergraduate,Engineering Science (Energy Sys),*
Toronto,2019-2020,Undergraduate,Engineering Science (Infrastruct),*
Toronto,2019-2020,Undergraduate,Engineering Science (Machine Intelligence),54
Toronto,2019-2020,Undergraduate,"Engineering Science (Math,Sta,Fin)",43
Toronto,2019-2020,Undergraduate,Engineering Science (Physics),20
Toronto,2019-2020,Undergraduate,Engineering Science(Robotics),104
Toronto,2019-2020,Undergraduate,English - 2nd language teaching,23
Toronto,2019-2020,Undergraduate,Human Resource Management,0
Toronto,2019-2020,Undergraduate,Industrial Engineering,419
Toronto,2019-2020,Undergraduate,Kinesiology,998
Toronto,2019-2020,Undergraduate,Law - JD,539
Toronto,2019-2020,Undergraduate,Law - joint JD & graduate degree,28
Toronto,2019-2020,Undergraduate,Master Pastoral Studies - Spiritual Care (Emmanuel),20
Toronto,2019-2020,Undergraduate,Master Theological Studies - Urban Community Development (Wycliffe),*
Toronto,2019-2020,Undergraduate,Materials Engineering,178
Toronto,2019-2020,Undergraduate,Mechanical Engineering,665
Toronto,2019-2020,Undergraduate,Medical Radiation Sciences,275
Toronto,2019-2020,Undergraduate,Mineral Engineering,59
Toronto,2019-2020,Undergraduate,Ministry,*
Toronto,2019-2020,Undergraduate,Music,130
Toronto,2019-2020,Undergraduate,Music Performance,298
Toronto,2019-2020,Undergraduate,Music Teacger Education,100
Toronto,2019-2020,Undergraduate,Non-Program,3397
Toronto,2019-2020,Undergraduate,Nursing,349
Toronto,2019-2020,Undergraduate,Operatic Performance,*
Toronto,2019-2020,Undergraduate,Pastoral Studies,11
Toronto,2019-2020,Undergraduate,Pharmacy,948
Toronto,2019-2020,Undergraduate,Physical & Health Education,*
Toronto,2019-2020,Undergraduate,SCIENCE,27091
Toronto,2019-2020,Undergraduate,Sacred Music,*
Toronto,2019-2020,Undergraduate,Theological Studies,32
Toronto,2019-2020,Graduate,Accounting and Finance,44
Toronto,2019-2020,Graduate,Aerospace Science & Engineering,219
Toronto,2019-2020,Graduate,Aerospace Science and Engineering,*
Toronto,2019-2020,Graduate,Anthropology,174
Toronto,2019-2020,Graduate,Applied Computing,110
Toronto,2019-2020,Graduate,Architecture,285
Toronto,2019-2020,Graduate,Art History,56
Toronto,2019-2020,Graduate,Astronomy & Astrophysics,60
Toronto,2019-2020,Graduate,Biochemistry,155
Toronto,2019-2020,Graduate,Biomedical Communications,36
Toronto,2019-2020,Graduate,Biomedical Engineering,325
Toronto,2019-2020,Graduate,Biotechnology,88
Toronto,2019-2020,Graduate,Business Administration,970
Toronto,2019-2020,Graduate,Business Administration (Executive),258
Toronto,2019-2020,Graduate,Cell & Systems Biology,209
Toronto,2019-2020,Graduate,Chemical Engineering & Applied Chemistry,232
Toronto,2019-2020,Graduate,Chemistry,285
Toronto,2019-2020,Graduate,Cinema Studies,50
Toronto,2019-2020,Graduate,Civil Engineering,335
Toronto,2019-2020,Graduate,Classics,38
Toronto,2019-2020,Graduate,Comparative Literature,42
Toronto,2019-2020,Graduate,Computer Science,314
Toronto,2019-2020,Graduate,Counselling and Clinical Psychology,34
Toronto,2019-2020,Graduate,Criminology and Sociolegal Studies,50
Toronto,2019-2020,Graduate,Dentistry,27
Toronto,2019-2020,Graduate,Dentistry - Dental Anaesthesia,*
Toronto,2019-2020,Graduate,Dentistry - Dental Public Health,*
Toronto,2019-2020,Graduate,Dentistry - Endodontics,*
Toronto,2019-2020,Graduate,Dentistry - Oral Maxillofacial Surgery,12
Toronto,2019-2020,Graduate,Dentistry - Oral Medicine,*
Toronto,2019-2020,Graduate,Dentistry - Oral Pathology and Medicine,*
Toronto,2019-2020,Graduate,Dentistry - Oral Radiology,*
Toronto,2019-2020,Graduate,Dentistry - Orthodontics,11
Toronto,2019-2020,Graduate,Dentistry - Paediatric,11
Toronto,2019-2020,Graduate,Dentistry - Periodontology,10
Toronto,2019-2020,Graduate,Dentistry - Prosthodontics,*
Toronto,2019-2020,Graduate,Drama,44
Toronto,2019-2020,Graduate,East Asian Studies,58
Toronto,2019-2020,Graduate,Ecology & Evolutionary Biology,147
Toronto,2019-2020,Graduate,Ecology and Evolutionary Biology,0
Toronto,2019-2020,Graduate,Economics,154
Toronto,2019-2020,Graduate,Economics - Financial Economics,53
Toronto,2019-2020,Graduate,Education - Adult Education & Community Development,34
Toronto,2019-2020,Graduate,Education - Adult Education & Counselling Psychology,129
Toronto,2019-2020,Graduate,Education - Child Study and Education,129
Toronto,2019-2020,Graduate,Education - Counselling Psychology,102
Toronto,2019-2020,Graduate,Education - Counselling and Clinical Psychology,45
Toronto,2019-2020,Graduate,"Education - Curriculum, Teaching & Learning",1253
Toronto,2019-2020,Graduate,Education - Developmental Psychology & Education,264
Toronto,2019-2020,Graduate,Education - Educational Leadership and Policy,171
Toronto,2019-2020,Graduate,Education - Higher Education,158
Toronto,2019-2020,Graduate,Education - Social Justice Education,227
Toronto,2019-2020,Graduate,Electrical & Computer Engineering,614
Toronto,2019-2020,Graduate,English,159
Toronto,2019-2020,Graduate,Environmental Science,142
Toronto,2019-2020,Graduate,European and Russian Affairs,44
Toronto,2019-2020,Graduate,Exercise Science,101
Toronto,2019-2020,Graduate,Financial Insurance,25
Toronto,2019-2020,Graduate,Financial Risk Management,60
Toronto,2019-2020,Graduate,Forest Conservation,68
Toronto,2019-2020,Graduate,Forestry,47
Toronto,2019-2020,Graduate,French,35
Toronto,2019-2020,Graduate,French  Linguistics,*
Toronto,2019-2020,Graduate,French Literature,0
Toronto,2019-2020,Graduate,Genetic Counselling,12
Toronto,2019-2020,Graduate,Geography,148
Toronto,2019-2020,Graduate,Geology,57
Toronto,2019-2020,Graduate,"German Literature, Culture and Theory",0
Toronto,2019-2020,Graduate,Germanic Languages and Literatures,*
Toronto,2019-2020,Graduate,"Germanic Literature, Culture and Theory",16
Toronto,2019-2020,Graduate,Global Professional Master of Laws,122
Toronto,2019-2020,Graduate,Health Administration,396
Toronto,2019-2020,Graduate,Health informatics,119
Toronto,2019-2020,Graduate,History,139
Toronto,2019-2020,Graduate,History & Philosophy of Science & Technology,41
Toronto,2019-2020,Graduate,Immunology,115
Toronto,2019-2020,Graduate,Industrial Relations,10
Toronto,2019-2020,Graduate,Industrial Relations & Human Resources,69
Toronto,2019-2020,Graduate,Information,61
Toronto,2019-2020,Graduate,Information Studies,625
Toronto,2019-2020,Graduate,Italian Studies,23
Toronto,2019-2020,Graduate,Laboratory Medicine & Pathobiology,204
Toronto,2019-2020,Graduate,Landscape Architecture,71
Toronto,2019-2020,Graduate,Law - LLM,32
Toronto,2019-2020,Graduate,Law - SJD,39
Toronto,2019-2020,Graduate,Linguistics,57
Toronto,2019-2020,Graduate,Management,72
Toronto,2019-2020,Graduate,Management & Finance,81
Toronto,2019-2020,Graduate,Management & Professional Accounting,198
Toronto,2019-2020,Graduate,Management Analytics,52
Toronto,2019-2020,Graduate,Management of Innovation,33
Toronto,2019-2020,Graduate,Master of Arts in Theological Studies (Emmanuel),*
Toronto,2019-2020,Graduate,Master of Arts in Theological Studies (Knox),*
Toronto,2019-2020,Graduate,Master of Arts in Theological Studies (Regis),*
Toronto,2019-2020,Graduate,Master of Arts in Theological Studies (USMC),*
Toronto,2019-2020,Graduate,Master of Arts in Theological Studies (Wycliffe),*
Toronto,2019-2020,Graduate,Master of Global Affairs,191
Toronto,2019-2020,Graduate,Master of Public Health,274
Toronto,2019-2020,Graduate,Materials Science & Engineering,94
Toronto,2019-2020,Graduate,Materials Science and Engineering - PhD,*
Toronto,2019-2020,Graduate,Mathematical Finance,24
Toronto,2019-2020,Graduate,Mathematics,169
Toronto,2019-2020,Graduate,Mechanical & Industrial Engineering,625
Toronto,2019-2020,Graduate,Medical Biophysics,235
Toronto,2019-2020,Graduate,Medical Genomics,35
Toronto,2019-2020,Graduate,Medical Science,455
Toronto,2019-2020,Graduate,Medieval Studies,70
Toronto,2019-2020,Graduate,Ministry,28
Toronto,2019-2020,Graduate,Molecular Genetics,359
Toronto,2019-2020,Graduate,Museum Studies,102
Toronto,2019-2020,Graduate,Music,73
Toronto,2019-2020,Graduate,Music Performance,251
Toronto,2019-2020,Graduate,Near & Middle Eastern Civilizations,90
Toronto,2019-2020,Graduate,Non-Program,75
Toronto,2019-2020,Graduate,Nurse Practitioner,163
Toronto,2019-2020,Graduate,Nursing,138
Toronto,2019-2020,Graduate,Nursing Science,46
Toronto,2019-2020,Graduate,Nutritional Studies,68
Toronto,2019-2020,Graduate,Occupational Therapy,261
Toronto,2019-2020,Graduate,Pharmaceutical Sciences,113
Toronto,2019-2020,Graduate,Pharmacology,158
Toronto,2019-2020,Graduate,Pharmacy,0
Toronto,2019-2020,Graduate,Philosophy,79
Toronto,2019-2020,Graduate,Physical Therapy,222
Toronto,2019-2020,Graduate,Physics,191
Toronto,2019-2020,Graduate,Physiology,160
Toronto,2019-2020,Graduate,Planning,92
Toronto,2019-2020,Graduate,Political Science,201
Toronto,2019-2020,Graduate,Professional Accounting,0
Toronto,2019-2020,Graduate,Professional Kinesiology,69
Toronto,2019-2020,Graduate,Psychology,177
Toronto,2019-2020,Graduate,Public Health Sciences,198
Toronto,2019-2020,Graduate,Public Health Sciences - Sociology & Behaviour,*
Toronto,2019-2020,Graduate,Public Policy,169
